created_timestamp,preferred_marketplace,country,device_family,ASIN,Toolbar Menu,Toolbar Menu Action Taken,Page Flip Available,Reading Mode,In Multi Window Mode,Screen Orientation,Reading Progress Option Shown,Interaction Type
2025-05-27T03:27:35Z,www.amazon.com,US,Kindle for Android,O6S35RM2ZUUGD5GZ4NVTFU7UOPT7RK4U,Top Toolbar,Open Reading Customization Menu,Yes,Paginated Reading,No,Portrait,Location,Tap
2025-05-27T03:29:55Z,www.amazon.com,US,Kindle for Android,O6S35RM2ZUUGD5GZ4NVTFU7UOPT7RK4U,Top Toolbar,Open Reading Customization Menu,Yes,Paginated Reading,No,Portrait,Location,Tap
2025-06-15T21:15:47Z,www.amazon.com,US,Kindle for Android,JPOXUR4EGOMYIE4NQUVJQIDTMPQQNA4F,Navigation View,Enter Full Page View,Yes,Paginated Reading,No,Portrait,Location,Tap
2025-06-15T21:23:58Z,www.amazon.com,US,Kindle for Android,JPOXUR4EGOMYIE4NQUVJQIDTMPQQNA4F,Navigation View,App Backgrounded,Yes,Paginated Reading,No,Portrait,Location,Tap
2025-05-29T03:40:39Z,www.amazon.com,US,Kindle for Android,AP5FIAON5SVTMKD5WZJIZMQNHU6IF5Y6,Top Toolbar,OpenTableOfContents,Yes,Paginated Reading,No,Portrait,Time To Read Book,Tap
2025-05-21T19:09:14Z,www.amazon.com,US,Kindle for Android,Not Available,Full Page View,App Backgrounded,Yes,Paginated Reading,No,Portrait,Location,Tap
2025-06-01T17:05:16Z,www.amazon.com,US,Kindle for Android,Not Available,Library View,Open Book,Yes,Paginated Reading,No,Portrait,Location,Tap
2025-06-01T17:12:18Z,www.amazon.com,US,Kindle for Android,JNMIUTPQKYQ7HRUKCLKJX5RHPE3OAK4B,Navigation View,App Backgrounded,Yes,Paginated Reading,No,Portrait,Location,Tap
2025-07-29T20:33:05Z,www.amazon.com,US,Kindle for Android,Not Available,Library View,Open Book,Yes,Paginated Reading,No,Portrait,Blank,Tap
2025-05-27T11:03:44Z,www.amazon.com,US,Kindle for Android,O6S35RM2ZUUGD5GZ4NVTFU7UOPT7RK4U,Full Page View,App Backgrounded,Yes,Paginated Reading,No,Portrait,Location,Tap
2025-06-13T19:17:28Z,www.amazon.com,US,Kindle for Android,JPOXUR4EGOMYIE4NQUVJQIDTMPQQNA4F,Full Page View,App Backgrounded,Yes,Paginated Reading,No,Portrait,Location,Tap
2025-05-21T18:52:59Z,www.amazon.com,US,Kindle for Android,FTT7VNOWFIXZCCUGO3PVUC2EFP5UBTOU,Full Page View,Tap Reading Progress To Change,Yes,Paginated Reading,No,Portrait,Blank,Tap
2025-07-29T15:55:04Z,www.amazon.com,US,Kindle for Android,CYYIMAPVWFZQZ7XVINNTFI6QPBWGZ245,Full Page View,Exit Full Page View,Yes,Paginated Reading,No,Portrait,Blank,Tap
