Timestamp,Activity,CampaignName,DisplayStatus
2023-10-07T01:15:19Z,RECEIVED,special_deals#DEFAULT,displayed_InAppNotification
2024-10-07T04:14:37Z,ACTION_TRAY_CLEAR_PERFORMED,,
2023-07-23T16:49:07Z,ACTION_TRAY_CLEAR_PERFORMED,,
2025-01-20T20:26:27Z,RECEIVED,tips,displayed
2024-02-02T16:17:48Z,RECEIVED,tips,displayed
2024-02-20T22:52:23Z,RECEIVED,tips#DEFAULT,displayed_InAppNotification
2023-04-16T19:01:33Z,RECEIVED,kindle_recommends,displayed
2023-06-28T23:56:04Z,ACTION_TRAY_CLEAR_PERFORMED,,
2023-08-07T21:27:36Z,ACTION_TRAY_CLEAR_PERFORMED,,
2024-03-30T02:08:05Z,RECEIVED,kindle_recommends,displayed
2024-06-15T21:36:32Z,RECEIVED,tips#DEFAULT,displayed_InAppNotification
2024-08-09T02:40:09Z,RECEIVED,kindle_recommends#DEFAULT,displayed_InAppNotification
2025-03-16T17:01:19Z,ACTION_TRAY_CLEARED,,
2024-05-16T03:21:34Z,RECEIVED,kindle_recommends,validityFailed
2023-06-14T15:50:06Z,RECEIVED,kindle_recommends,displayed
2025-07-27T18:32:59Z,RECEIVED,tips#DEFAULT,displayed_InAppNotification
2023-03-14T18:17:00Z,RECEIVED,kindle_recommends,displayed
2023-08-22T18:04:52Z,RECEIVED,tips,displayed
2025-04-17T19:32:13Z,ACTION_TRAY_CLOSE,,
2025-06-22T16:22:22Z,RECEIVED,kindle_recommends,displayed
2024-11-16T20:00:29Z,RECEIVED,tips,displayed
2025-04-24T01:08:46Z,ACTION_TRAY_OPEN,,
2024-07-01T17:46:22Z,ACTION_TRAY_CLEAR_PERFORMED,,
2023-07-16T21:09:58Z,ACTION_TAP,kindle_recommends,
2023-08-16T16:26:50Z,RECEIVED,tips,displayed
2024-01-08T18:51:14Z,ACTION_TRAY_OPEN,,
2023-12-12T19:40:03Z,ACTION_TRAY_CLEAR_PERFORMED,,
2023-03-07T03:51:20Z,ACTION_TRAY_OPEN,,
2023-04-04T23:12:18Z,ACTION_TRAY_CLOSE,,
