ASIN,Product Name,Annotation Type,Customer modified date on device,Device Serial Number,ContentType,Format,Creation Date,LastUpdatedDate,Highlight,Version,Selection Type,Note,Is Deleted
B097769VDM,Nine Lives: A Novel,kindle.last_read,2022-09-28T19:46:06Z,G0016T03101203AQ,EBOK,YJBinary,2022-09-26T02:59:45Z,2022-09-28T19:46:08Z,Not Available,Not Available,Not Available,Not Available,No
B09QKTFZGR,If Nietzsche Were a Narwhal: What Animal Intelligence Reveals About Human Stupidity,kindle.continuous_read,2022-09-25T04:14:36Z,G0016T03101203AQ,EBSP,YJBinary,2022-09-25T04:14:37Z,2022-09-25T04:14:37Z,Not Available,Not Available,Not Available,Not Available,No
B09QKTFZGR,If Nietzsche Were a Narwhal: What Animal Intelligence Reveals About Human Stupidity,kindle.most_recent_read,2022-09-25T04:14:36Z,G0016T03101203AQ,EBSP,YJBinary,2022-09-25T04:14:37Z,2022-09-25T04:14:37Z,Not Available,Not Available,Not Available,Not Available,No
B09QKTFZGR,If Nietzsche Were a Narwhal: What Animal Intelligence Reveals About Human Stupidity,kindle.last_read,2022-09-25T04:14:36Z,G0016T03101203AQ,EBSP,YJBinary,2022-09-25T04:14:37Z,2022-09-25T04:14:37Z,Not Available,Not Available,Not Available,Not Available,No
B09NTJPTKN,If I Survive You,kindle.continuous_read,2022-09-23T03:04:30Z,G0016T03101203AQ,EBOK,YJBinary,2022-09-20T22:46:22Z,2022-09-23T03:04:32Z,Not Available,Not Available,Not Available,Not Available,No
B09NTJPTKN,If I Survive You,kindle.most_recent_read,2022-09-23T03:04:30Z,G0016T03101203AQ,EBOK,YJBinary,2022-09-20T22:46:22Z,2022-09-23T03:04:32Z,Not Available,Not Available,Not Available,Not Available,No
B09NTJPTKN,If I Survive You,kindle.last_read,2022-09-23T03:04:30Z,G0016T03101203AQ,EBOK,YJBinary,2022-09-20T22:46:22Z,2022-09-23T03:04:32Z,Not Available,Not Available,Not Available,Not Available,No
B08PC3SZHX,A Slow Fire Burning: A Novel,kindle.continuous_read,2022-09-20T22:27:55Z,G0016T03101203AQ,EBOK,YJBinary,2022-09-20T03:20:18Z,2022-09-20T22:27:56Z,Not Available,Not Available,Not Available,Not Available,No
B08PC3SZHX,A Slow Fire Burning: A Novel,kindle.most_recent_read,2022-09-20T22:27:55Z,G0016T03101203AQ,EBOK,YJBinary,2022-09-20T03:20:18Z,2022-09-20T22:27:56Z,Not Available,Not Available,Not Available,Not Available,No
B08PC3SZHX,A Slow Fire Burning: A Novel,kindle.last_read,2022-09-20T03:34:35Z,G0016T03101203AQ,EBOK,YJBinary,2022-09-20T03:20:18Z,2022-09-20T03:34:36Z,Not Available,Not Available,Not Available,Not Available,No
B09G9C2WRT,The Novelist: A Novel,kindle.continuous_read,2022-09-16T18:47:40Z,G0016T03101203AQ,EBSP,YJBinary,2022-09-16T02:57:46Z,2022-09-16T18:47:42Z,Not Available,Not Available,Not Available,Not Available,No
B09G9C2WRT,The Novelist: A Novel,kindle.most_recent_read,2022-09-16T18:47:40Z,G0016T03101203AQ,EBSP,YJBinary,2022-09-16T02:57:46Z,2022-09-16T18:47:42Z,Not Available,Not Available,Not Available,Not Available,No
B09G9C2WRT,The Novelist: A Novel,kindle.last_read,2022-09-16T02:57:45Z,G0016T03101203AQ,EBSP,YJBinary,2022-09-16T02:57:46Z,2022-09-16T02:57:46Z,Not Available,Not Available,Not Available,Not Available,No
